Title,Neighborhood,Total Area,Useful Area,Bedrooms,Bathrooms,Garage,Rent,Condo Fee,Link
,Parque Alves de Lima,12,,1.0,1.0,0,R$ 650,,
,Aclimação,25,,1.0,1.0,0,R$ 670,R$ 650 Condominio,
,Vila Maria,30,,1.0,1.0,0,R$ 680,R$ 175 Condominio,
,Vila Laís,20,,1.0,1.0,0,R$ 690,,
,Parque Cocaia,25,,1.0,1.0,0,R$ 690,,
,Alto da Lapa,11,,1.0,1.0,0,R$ 700,,
,Mandaqui,20,,1.0,1.0,0,R$ 700,R$ 350 Condominio,
,Vila Água Funda,14,,1.0,1.0,0,R$ 700,,
,Centro,59,,1.0,1.0,0,R$ 700,R$ 780 Condominio,
,Alto da Lapa,18,,1.0,1.0,0,R$ 700,,
,Altos de Vila Prudente,20,,1.0,1.0,0,R$ 700,,
,Centro,29,,1.0,1.0,0,R$ 700,R$ 375 Condominio,
,Jardim Independência,500,,1.0,1.0,0,R$ 700,R$ 120 Condominio,
,Campos Elíseos,35,,,1.0,0,R$ 700,R$ 475 Condominio,
,Raposo Tavares,40,,1.0,1.0,0,R$ 700,R$ 50 Condominio,
,Jardim Oriental,54,,1.0,1.0,0,R$ 700,,
,Santa Efigênia,30,,1.0,1.0,0,R$ 700,R$ 314 Condominio,
,Santa Efigênia,40,,1.0,1.0,0,R$ 700,R$ 527 Condominio,
,Santa Efigênia,40,,1.0,1.0,0,R$ 700,R$ 547 Condominio,
,Jardim Promissão,16,,1.0,1.0,0,R$ 700,R$ 50 Condominio,
,Vila Nair,13,,1.0,1.0,0,R$ 700,R$ 250 Condominio,
,Centro,52,,1.0,1.0,0,R$ 700,R$ 449 Condominio,
,Cidade Tiradentes,46,,2.0,1.0,0,R$ 700,R$ 145 Condominio,
,Cidade Tiradentes,46,,2.0,1.0,0,R$ 700,,
,Cidade São Mateus,20,,1.0,1.0,0,R$ 700,,
,Vila Brasilina,25,,1.0,1.0,0,R$ 704,R$ 100 Condominio,
,Casa Verde Alta,35,,1.0,1.0,0,R$ 720,,
,Jardim Japão,18,,1.0,1.0,0,R$ 720,R$ 217 Condominio,
,Campo Belo,179,,1.0,,1,R$ 722,R$ 2.900 Condominio,
,Jardim Nossa Senhora do Carmo,35,,1.0,1.0,0,R$ 725,,
,Jardim Vergueiro,24,,1.0,1.0,0,R$ 730,,
,Bela Vista,27.0,,1.0,1.0,1,R$ 200,R$ 400 Condominio,
,Bela Vista,27.0,,1.0,1.0,1,R$ 200,R$ 400 Condominio,
,República,20.0,,,,0,R$ 320,,
,Tatuapé,55.0,,1.0,1.0,1,R$ 495,R$ 185 Condominio,
,Vila Ede,30.0,,1.0,1.0,0,R$ 525,,
,Jardim Cidade Pirituba,20.0,,1.0,1.0,0,R$ 530,,
,Vila Ede,30.0,,1.0,1.0,0,R$ 550,,
,Mandaqui,16.0,,1.0,1.0,0,R$ 550,R$ 350 Condominio,
,São Paulo,49.0,,2.0,1.0,0,R$ 550,R$ 336 Condominio,
,Vila Nair,20.0,,1.0,1.0,0,R$ 550,R$ 250 Condominio,
,Conjunto Residencial Jardim Canaã,20.0,,1.0,1.0,0,R$ 550,,
,Cidade Tiradentes,36.0,,2.0,1.0,0,R$ 550,R$ 120 Condominio,
,Aclimação,27.0,,1.0,1.0,0,R$ 560,R$ 520 Condominio,
